981297 function calls (969090 primitive calls) in 0.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
       15    0.001    0.000    0.002    0.000 enum.py:180(__new__)
       64    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      454    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
       44    0.000    0.000    0.002    0.000 _base.py:66(__set_name__)
   116/58    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
       56    0.000    0.000    0.002    0.000 pyparsing.py:3901(<listcomp>)
        1    0.000    0.000    0.002    0.002 widgets.py:1(<module>)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       10    0.000    0.000    0.002    0.000 typing.py:2267(__new__)
      564    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      713    0.001    0.000    0.002    0.000 inspect.py:612(unwrap)
      779    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      169    0.001    0.000    0.002    0.000 colors.py:310(_to_rgba_no_colorcycle)
    10577    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       10    0.000    0.000    0.002    0.000 typing.py:2247(_make_nmtuple)
      185    0.000    0.000    0.002    0.000 typing.py:947(__init__)
       67    0.000    0.000    0.002    0.000 colors.py:1108(<dictcomp>)
       22    0.000    0.000    0.002    0.000 pyparsing.py:4686(parseImpl)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      242    0.000    0.000    0.002    0.000 sre_parse.py:97(closegroup)
      512    0.000    0.000    0.002    0.000 re.py:187(match)
     4379    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
       18    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
      636    0.001    0.000    0.002    0.000 inspect.py:66(get_annotations)
     1647    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
      189    0.001    0.000    0.002    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
      309    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       14    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
      448    0.000    0.000    0.002    0.000 re.py:202(sub)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       17    0.000    0.000    0.002    0.000 pyparsing.py:1291(extract_stack)
     1305    0.001    0.000    0.002    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.002    0.002 cbook.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
      195    0.002    0.000    0.002    0.000 colors.py:1110(<listcomp>)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
       26    0.000    0.000    0.002    0.000 deprecation.py:416(make_keyword_only)
   256/18    0.000    0.000    0.002    0.000 ast.py:414(visit)
        1    0.000    0.000    0.002    0.002 layout_engine.py:1(<module>)
       17    0.000    0.000    0.002    0.000 traceback.py:216(extract_stack)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
      356    0.001    0.000    0.002    0.000 inspect.py:653(_findclass)
   256/18    0.001    0.000    0.002    0.000 ast.py:420(generic_visit)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
     6512    0.001    0.000    0.002    0.000 enum.py:678(__new__)
       17    0.000    0.000    0.002    0.000 traceback.py:338(extract)
        5    0.000    0.000    0.001    0.000 enum.py:483(_create_)
       12    0.000    0.000    0.001    0.000 typing.py:1239(copy_with)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
        1    0.000    0.000    0.001    0.001 _fontconfig_pattern.py:57(_make_fontconfig_parser)
2717/2547    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 dataclasses.py:1333(make_dataclass)
     9238    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3136    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
